M3, ADC
0, 6468
1, 6465
2, 6461
3, 6460
4, 6463
5, 6466
6, 6462
7, 6461
8, 6459
9, 6467
10, 6466
11, 6467
12, 6463
13, 6460
14, 6461
15, 6464
16, 6466
17, 6464
18, 6462
19, 6462
20, 6470
21, 6470
22, 6474
23, 6460
24, 6460
25, 6463
26, 6466
27, 6471
28, 6465
29, 6461
30, 6464
31, 6466
32, 6466
33, 6468
34, 6462
35, 6462
36, 6467
37, 6467
38, 6464
39, 6464
40, 6461
41, 6461
42, 6470
43, 6473
44, 6465
45, 6458
46, 6465
47, 6463
48, 6473
49, 6464
50, 6461
51, 6457
52, 6466
53, 6470
54, 6467
55, 6464
56, 6461
57, 6466
58, 6469
59, 6463
60, 6463
61, 6459
62, 6461
63, 6465
64, 6472
65, 6468
66, 6460
67, 6459
68, 6463
69, 6469
70, 6464
71, 6460
72, 6461
73, 6462
74, 6469
75, 6469
76, 6462
77, 6459
78, 6463
79, 6464
80, 6470
81, 6466
82, 6462
83, 6461
84, 6464
85, 6467
86, 6463
87, 6462
88, 6460
89, 6462
90, 6465
91, 6474
92, 6461
93, 6463
94, 6461
95, 6463
96, 6469
97, 6464
98, 6461
99, 6463
100, 6461
101, 6472
102, 6466
103, 6462
104, 6462
105, 6464
106, 6469
107, 6468
108, 6462
109, 6459
110, 6461
111, 6470
112, 6466
113, 6463
114, 6457
115, 6458
116, 6463
117, 6469
118, 6466
119, 6461
120, 6460
121, 6461
122, 6468
123, 6467
124, 6464
125, 6458
126, 6464
127, 6464
128, 6473
129, 6462
130, 6459
131, 6460
132, 6467
133, 6470
134, 6472
135, 6464
136, 6460
137, 6463
138, 6473
139, 6468
140, 6463
141, 6459
142, 6457
143, 6467
144, 6468
145, 6466
146, 6465
147, 6461
148, 6462
149, 6470
150, 6467
151, 6463
152, 6459
153, 6469
154, 6467
155, 6467
156, 6461
157, 6458
158, 6464
159, 6468
160, 6467
161, 6463
162, 6458
163, 6460
164, 6461
165, 6467
166, 6466
167, 6463
168, 6460
169, 6462
170, 6469
171, 6465
172, 6462
173, 6458
174, 6462
175, 6467
176, 6467
177, 6462
178, 6460
179, 6459
180, 6465
181, 6467
182, 6464
183, 6461
184, 6460
185, 6464
186, 6466
187, 6467
188, 6461
189, 6460
190, 6462
191, 6466
192, 6464
193, 6465
194, 6459
195, 6462
196, 6461
197, 6467
198, 6462
199, 6462
200, 6463
201, 6464
202, 6470
203, 6467
204, 6460
205, 6458
206, 6462
207, 6470
208, 6467
209, 6461
210, 6460
211, 6461
212, 6463
213, 6469
214, 6465
215, 6461
216, 6461
217, 6462
218, 6468
219, 6466
220, 6463
221, 6465
222, 6465
223, 6465
224, 6466
225, 6463
226, 6463
227, 6466
228, 6465
229, 6471
230, 6465
231, 6462
232, 6460
233, 6463
234, 6469
235, 6465
236, 6463
237, 6460
238, 6460
239, 6470
240, 6465
241, 6465
242, 6458
243, 6467
244, 6464
245, 6468
246, 6462
247, 6461
248, 6459
249, 6464
250, 6467
251, 6469
252, 6463
253, 6461
254, 6459
255, 6467
256, 6466
257, 6464
258, 6459
259, 6460
260, 6466
261, 6464
262, 6466
263, 6461
264, 6462
265, 6464
266, 6468
267, 6468
268, 6464
269, 6458
270, 6462
271, 6466
272, 6467
273, 6462
274, 6461
275, 6462
276, 6471
277, 6468
278, 6464
279, 6459
280, 6459
281, 6462
282, 6472
283, 6466
284, 6460
285, 6462
286, 6462
287, 6467
288, 6466
289, 6463
290, 6462
291, 6461
292, 6464
293, 6466
294, 6463
295, 6459
296, 6462
297, 6466
298, 6467
299, 6467
300, 6460
301, 6461
302, 6464
303, 6467
304, 6469
305, 6467
306, 6459
307, 6465
308, 6466
309, 6469
310, 6467
311, 6461
312, 6461
313, 6462
314, 6472
315, 6466
316, 6459
317, 6460
318, 6466
319, 6470
320, 6468
321, 6462
322, 6464
323, 6461
324, 6471
325, 6465
326, 6464
327, 6457
328, 6459
329, 6466
330, 6467
331, 6465
332, 6464
333, 6460
334, 6462
335, 6469
336, 6467
337, 6464
338, 6460
339, 6461
340, 6463
341, 6468
342, 6464
343, 6460
344, 6460
345, 6466
346, 6468
347, 6466
348, 6463
349, 6460
350, 6467
351, 6464
352, 6465
353, 6466
354, 6461
355, 6465
356, 6467
357, 6469
358, 6465
359, 6461
360, 6462
361, 6466
362, 6469
363, 6464
364, 6462
365, 6460
366, 6465
367, 6465
368, 6470
369, 6459
370, 6459
