M4, ADC
0, 6315
1, 6321
2, 6322
3, 6316
4, 6312
5, 6318
6, 6322
7, 6322
8, 6320
9, 6312
10, 6314
11, 6316
12, 6323
13, 6318
14, 6316
15, 6311
16, 6318
17, 6318
18, 6320
19, 6316
20, 6313
21, 6315
22, 6321
23, 6321
24, 6316
25, 6313
26, 6312
27, 6318
28, 6323
29, 6319
30, 6314
31, 6311
32, 6318
33, 6324
34, 6322
35, 6315
36, 6313
37, 6316
38, 6320
39, 6321
40, 6317
41, 6313
42, 6316
43, 6319
44, 6323
45, 6316
46, 6317
47, 6312
48, 6318
49, 6324
50, 6319
51, 6311
52, 6311
53, 6316
54, 6322
55, 6319
56, 6319
57, 6312
58, 6316
59, 6317
60, 6321
61, 6315
62, 6313
63, 6313
64, 6319
65, 6323
66, 6318
67, 6314
68, 6313
69, 6315
70, 6323
71, 6322
72, 6315
73, 6313
74, 6311
75, 6319
76, 6322
77, 6318
78, 6312
79, 6316
80, 6318
81, 6322
82, 6318
83, 6315
84, 6313
85, 6319
86, 6319
87, 6321
88, 6315
89, 6314
90, 6315
91, 6324
92, 6323
93, 6320
94, 6313
95, 6315
96, 6315
97, 6323
98, 6321
99, 6314
100, 6315
101, 6317
102, 6320
103, 6321
104, 6319
105, 6314
106, 6317
107, 6318
108, 6322
109, 6315
110, 6315
111, 6315
112, 6320
113, 6323
114, 6319
115, 6314
116, 6312
117, 6314
118, 6319
119, 6318
120, 6318
121, 6314
122, 6316
123, 6320
124, 6320
125, 6316
126, 6312
127, 6312
128, 6319
129, 6323
130, 6321
131, 6315
132, 6310
133, 6320
134, 6322
135, 6320
136, 6315
137, 6312
138, 6315
139, 6319
140, 6322
141, 6315
142, 6312
143, 6314
144, 6318
145, 6323
146, 6320
147, 6313
148, 6311
149, 6316
150, 6322
151, 6321
152, 6316
153, 6313
154, 6316
155, 6319
156, 6321
157, 6315
158, 6313
159, 6315
160, 6320
161, 6323
162, 6318
163, 6313
164, 6312
165, 6318
166, 6324
167, 6321
168, 6316
169, 6316
170, 6316
171, 6319
172, 6318
173, 6319
174, 6310
175, 6314
176, 6315
177, 6322
178, 6317
179, 6315
180, 6315
181, 6319
182, 6321
183, 6321
184, 6315
185, 6313
186, 6314
187, 6320
188, 6322
189, 6318
190, 6310
191, 6313
192, 6319
193, 6324
194, 6321
195, 6311
196, 6312
197, 6316
198, 6322
199, 6318
200, 6317
201, 6311
