M6, ADC
0, 6388
1, 6375
2, 6376
3, 6382
4, 6385
5, 6379
6, 6381
7, 6379
8, 6384
9, 6387
10, 6392
11, 6383
12, 6382
13, 6378
14, 6387
15, 6391
16, 6389
17, 6380
18, 6384
19, 6380
20, 6394
21, 6387
22, 6382
23, 6378
24, 6377
25, 6381
26, 6384
27, 6378
28, 6378
29, 6380
30, 6389
31, 6388
32, 6377
33, 6377
34, 6386
35, 6385
36, 6390
37, 6384
38, 6378
39, 6376
40, 6382
41, 6390
42, 6389
43, 6380
44, 6376
45, 6382
46, 6387
47, 6384
48, 6391
49, 6382
50, 6377
51, 6384
52, 6392
53, 6383
54, 6381
55, 6380
56, 6381
57, 6393
58, 6387
59, 6385
60, 6379
61, 6378
62, 6392
63, 6386
64, 6382
65, 6377
66, 6379
67, 6391
68, 6389
69, 6385
70, 6376
71, 6387
72, 6380
73, 6385
74, 6383
75, 6384
76, 6379
77, 6380
78, 6388
79, 6383
80, 6380
81, 6386
82, 6386
83, 6396
84, 6392
85, 6383
86, 6378
87, 6379
88, 6382
89, 6382
90, 6387
91, 6377
92, 6383
93, 6385
94, 6384
95, 6383
96, 6383
97, 6377
98, 6380
99, 6385
100, 6389
101, 6382
102, 6378
103, 6380
104, 6382
105, 6380
106, 6384
107, 6385
108, 6382
109, 6383
110, 6392
111, 6386
112, 6379
113, 6378
114, 6382
115, 6390
116, 6388
117, 6387
118, 6376
119, 6383
120, 6376
121, 6387
122, 6385
123, 6385
124, 6381
125, 6387
126, 6390
127, 6386
128, 6379
129, 6380
130, 6379
131, 6385
132, 6381
133, 6386
134, 6379
135, 6376
136, 6384
137, 6385
138, 6385
139, 6378
140, 6384
141, 6378
142, 6392
143, 6389
144, 6382
145, 6380
146, 6380
147, 6389
148, 6387
149, 6385
150, 6380
151, 6379
152, 6384
153, 6389
154, 6389
155, 6378
156, 6384
157, 6386
158, 6386
159, 6385
160, 6377
161, 6377
162, 6385
163, 6392
164, 6388
165, 6384
166, 6386
167, 6384
168, 6382
169, 6387
170, 6389
171, 6379
172, 6382
173, 6385
174, 6380
175, 6384
176, 6376
177, 6378
178, 6379
179, 6384
180, 6385
181, 6383
182, 6379
183, 6377
184, 6385
185, 6385
186, 6391
187, 6378
188, 6378
189, 6383
190, 6388
191, 6389
192, 6380
193, 6377
194, 6380
195, 6389
196, 6390
197, 6381
198, 6380
199, 6378
200, 6390
201, 6389
202, 6386
203, 6380
204, 6378
205, 6384
206, 6391
207, 6386
208, 6380
209, 6381
210, 6381
211, 6387
212, 6383
213, 6388
214, 6377
215, 6386
216, 6384
217, 6384
218, 6375
219, 6386
220, 6379
221, 6383
222, 6387
223, 6392
224, 6381
225, 6374
226, 6380
227, 6392
228, 6388
229, 6379
230, 6380
231, 6377
232, 6390
233, 6383
234, 6390
235, 6376
236, 6378
237, 6381
238, 6386
239, 6386
240, 6380
241, 6382
242, 6381
243, 6386
244, 6389
245, 6381
246, 6379
247, 6378
248, 6383
249, 6387
250, 6382
251, 6375
252, 6378
253, 6380
254, 6387
255, 6388
256, 6381
257, 6383
258, 6381
259, 6381
260, 6392
261, 6388
262, 6382
263, 6381
264, 6389
265, 6390
266, 6388
267, 6389
268, 6381
269, 6386
270, 6382
271, 6384
272, 6381
273, 6381
274, 6381
275, 6383
276, 6386
277, 6381
278, 6383
279, 6372
280, 6386
281, 6390
282, 6382
283, 6379
284, 6385
285, 6388
286, 6385
287, 6386
288, 6380
289, 6375
290, 6388
291, 6384
292, 6384
293, 6383
294, 6379
295, 6378
296, 6386
297, 6385
298, 6390
299, 6384
300, 6376
301, 6381
302, 6390
303, 6385
304, 6390
305, 6374
306, 6375
307, 6388
308, 6389
309, 6381
310, 6377
311, 6381
312, 6387
313, 6389
314, 6385
315, 6383
316, 6380
317, 6390
318, 6386
319, 6389
320, 6381
321, 6381
322, 6383
323, 6389
324, 6390
325, 6385
326, 6375
327, 6378
328, 6383
329, 6390
330, 6383
331, 6384
332, 6379
333, 6383
334, 6388
335, 6382
336, 6382
337, 6376
338, 6380
339, 6381
340, 6387
341, 6382
342, 6378
343, 6381
344, 6383
345, 6388
346, 6387
347, 6373
348, 6374
349, 6383
350, 6387
351, 6386
352, 6382
353, 6377
354, 6378
355, 6387
356, 6384
357, 6387
358, 6374
359, 6381
360, 6387
361, 6385
362, 6382
363, 6379
364, 6380
365, 6381
366, 6389
367, 6393
368, 6378
369, 6379
370, 6383
371, 6391
372, 6387
373, 6380
374, 6374
375, 6379
376, 6389
377, 6387
378, 6382
379, 6380
380, 6379
381, 6386
382, 6389
383, 6385
384, 6380
385, 6386
386, 6386
387, 6394
388, 6395
389, 6384
390, 6380
391, 6382
392, 6389
393, 6383
394, 6379
395, 6381
396, 6385
397, 6381
398, 6391
399, 6382
400, 6379
401, 6377
402, 6379
403, 6385
404, 6384
405, 6392
406, 6382
407, 6384
408, 6385
409, 6385
410, 6387
411, 6380
412, 6381
413, 6384
414, 6389
415, 6384
416, 6379
417, 6381
418, 6378
419, 6386
420, 6388
421, 6380
422, 6381
423, 6379
424, 6384
425, 6389
426, 6382
427, 6386
428, 6388
429, 6385
430, 6388
431, 6382
432, 6386
433, 6376
434, 6390
435, 6385
436, 6387
437, 6382
438, 6378
439, 6380
440, 6384
441, 6390
442, 6384
443, 6379
444, 6376
445, 6382
446, 6391
447, 6387
448, 6378
449, 6376
450, 6385
451, 6383
452, 6391
453, 6381
454, 6382
455, 6382
456, 6386
457, 6393
458, 6387
459, 6381
460, 6383
461, 6385
462, 6389
463, 6386
464, 6380
465, 6377
466, 6387
467, 6392
468, 6388
469, 6382
470, 6379
471, 6383
472, 6389
473, 6387
474, 6382
475, 6383
476, 6380
477, 6386
478, 6383
479, 6382
480, 6381
481, 6378
482, 6387
